Produto;Descrição;Unidade
6514;WHISKY JAMESON IPA DOSE;DS
215;WHISKY OLD PARR 12 ANOS DOSE;DS
217;WHISKY RED LABEL DOSE;DS
5211;WHISKY ROYAL SALUTE 21 ANOS DOSE;DS
845;WHISKY WOODFORD RESERVE DOSE;DS
485;XAROPE DE AMORA;L
483;XAROPE DE MACA VERDE;L
2220;XAROPE DE MORANGO;L
3341;XAROPE DE TANGERINA;L
3080;ZIMBRO;UN
